event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_519,59727,C. Krueger,662391,R. Kouassi,15029,-39.19,29.9,-42.67,25.71,5.79,5.96,54.9,109.18,47.8,8,2,25.53,3.0,,False,False,False,56.089999999999996,2333,Team 2
7_527,68518,L. Santos,59727,C. Krueger,15071,-42.44,29.57,-37.09,31.6,3.69,4.11,-133.72,-160.37,-121.5,10,0,32.14,6.36,,False,False,False,79.464,2333,Team 2
7_531,59727,C. Krueger,68518,L. Santos,15094,-42.36,32.06,-45.21,28.13,6.36,5.46,59.63,173.42,65.49,9,1,32.02,2.38,,False,False,False,68.796,2333,Team 2
7_536,441597,E. Madril Sams,149954,K. Strom,15343,-3.74,-19.46,7.35,-25.6,6.29,11.27,138.89,139.09,117.34,10,0,35.68,9.23,,False,False,False,79.413,2334,Team 1
7_541,149954,K. Strom,149873,A. Moorhouse,15409,-31.11,-0.93,-10.72,-2.45,16.44,20.26,176.35,92.39,-157.21,10,0,48.93,25.55,424.0,False,False,False,88.88200000000002,2334,Team 1
7_542,149873,A. Moorhouse,441597,E. Madril Sams,15439,-21.36,-14.08,-31.19,0.08,14.87,14.58,-67.07,-178.91,-57.05,10,0,34.86,13.42,424.0,False,False,False,71.50999999999999,2334,Team 1
7_547,149873,A. Moorhouse,149954,K. Strom,15542,-29.35,11.3,-36.24,-1.42,14.48,14.05,63.45,127.55,54.5,10,0,39.21,12.74,442.0,False,False,False,67.95100000000001,2334,Team 1
7_550,149954,K. Strom,441597,E. Madril Sams,15563,-29.37,-12.55,-30.96,13.35,19.35,21.19,-90.49,95.89,-94.33,10,0,38.97,15.9,424.0,False,False,False,72.18099999999998,2334,Team 1
7_558,151151,H. McCutcheon,149954,K. Strom,15681,-12.0,-0.73,-1.5,-14.7,15.17,14.11,132.99,-153.75,143.18,10,-2,36.34,8.18,4123.0,False,False,False,83.07700000000001,2334,Team 1
7_564,149954,K. Strom,149873,A. Moorhouse,15737,-36.68,0.97,-12.36,4.71,17.6,24.22,-171.04,138.37,-148.1,10,0,52.81,26.45,4231.0,False,False,False,94.146,2334,Team 1
7_567,149873,A. Moorhouse,22542,Marta,15788,0.17,-17.89,-37.95,-2.36,38.32,36.09,-25.29,-165.14,-25.44,5,5,6.86,6.13,424.0,True,False,False,56.787,2334,Team 1
7_575,22542,Marta,63540,Adriana,15923,8.53,21.63,-18.99,8.6,23.91,30.04,25.54,84.49,26.64,4,6,5.57,2.67,442.0,False,False,True,44.591,2334,Team 1
7_588,149882,K. Abello,62445,B. Banda,16619,-22.89,-10.81,-33.07,-11.73,10.73,11.86,2.9,0.79,-1.55,1,5,14.1,3.13,,True,False,True,26.166999999999998,2334,Team 1
7_592,149990,T. McKeown,662391,R. Kouassi,17451,-27.16,25.21,-43.63,6.26,22.14,25.03,51.26,117.15,53.21,7,3,18.33,7.79,523.0,False,False,False,56.911,2333,Team 2
7_598,22542,Marta,817541,C. Dyke,17832,7.31,-32.92,16.98,-23.65,5.53,8.99,-137.79,64.48,-116.89,9,-3,21.01,8.77,,False,False,False,57.826,2334,Team 1
7_601,817541,C. Dyke,62389,Angelina,17851,6.21,-25.17,7.49,-32.46,6.83,6.9,101.96,-136.2,94.62,9,0,20.75,4.88,,True,False,False,66.726,2334,Team 1
7_603,62389,Angelina,441597,E. Madril Sams,17866,-6.87,-26.74,4.33,-26.63,9.13,11.55,178.76,-169.93,-178.24,10,-2,33.75,5.79,,False,False,False,90.14900000000002,2334,Team 1
7_614,62389,Angelina,151602,A. Watt,18096,20.21,-32.5,18.94,-30.46,3.28,3.1,-46.31,-64.13,-42.9,5,2,9.72,1.8,,False,False,True,38.318000000000005,2334,Team 1
7_616,151602,A. Watt,62445,B. Banda,18104,28.61,-22.79,20.58,-32.96,10.26,10.79,66.52,-40.27,101.76,2,2,0.88,0.52,,True,False,True,37.769000000000005,2334,Team 1
7_618,59727,C. Krueger,662391,R. Kouassi,18146,-37.77,30.62,-35.82,29.72,2.0,2.15,155.22,162.38,139.46,10,-1,35.86,2.32,,False,False,False,84.27200000000002,2333,Team 2
7_629,149990,T. McKeown,62526,A. Kingsbury,18740,-24.48,-6.05,-9.92,-19.78,16.3,18.27,132.4,35.93,135.22,10,0,48.82,24.68,442.0,False,False,False,76.719,2333,Team 2
7_630,62526,A. Kingsbury,57072,E. Morgan,18767,-10.87,13.08,-20.16,-3.76,19.9,20.55,78.46,84.27,51.75,9,1,32.39,15.87,442.0,False,False,False,61.93899999999999,2333,Team 2
7_642,815174,M. Morris,815170,H. Hershfelt,19052,8.74,22.09,10.77,20.61,1.5,1.55,142.09,-90.46,119.13,6,0,18.09,1.75,,True,False,False,60.313,2333,Team 2
7_643,815170,H. Hershfelt,149990,T. McKeown,19065,-7.67,11.27,5.97,18.43,7.31,14.94,-153.57,-156.87,177.88,10,-4,33.31,7.36,,False,False,False,82.20800000000001,2333,Team 2
7_646,149990,T. McKeown,119153,T. Rodman,19095,9.83,-7.88,-12.74,9.14,18.72,20.78,-36.15,-116.94,-26.55,7,3,10.49,4.75,343.0,False,False,False,48.37499999999999,2333,Team 2
7_651,119153,T. Rodman,815174,M. Morris,19153,10.27,-16.56,0.45,-16.51,10.05,10.67,-5.92,-29.03,-23.71,3,4,10.94,4.81,433.0,True,False,False,29.389,2333,Team 2
7_657,815174,M. Morris,149990,T. McKeown,19189,-5.4,-12.12,16.53,-17.88,22.75,21.99,165.03,-11.14,166.94,10,-3,34.93,12.84,,False,False,False,73.533,2333,Team 2
7_660,149990,T. McKeown,57072,E. Morgan,19240,-3.49,7.72,-0.85,-13.75,13.45,18.74,95.33,101.03,82.23,10,0,29.56,7.46,442.0,False,False,False,67.18199999999999,2333,Team 2
7_662,57072,E. Morgan,662391,R. Kouassi,19297,20.93,28.6,-2.39,17.96,18.87,19.35,13.35,-152.07,8.22,4,6,2.98,8.87,442.0,False,False,True,44.24100000000001,2333,Team 2
7_672,149990,T. McKeown,119153,T. Rodman,19378,26.87,-24.13,-1.63,0.5,34.05,36.75,-45.17,-122.19,-43.27,7,3,6.97,14.29,523.0,False,False,False,52.405,2333,Team 2
